entrez_gene_id	adipose	colon	heart	hypothalamus	kidney	liver	lung	ovary	skeletalmuscle	spleen	testes
115123	0.115	0.323	1.429	0.431	0.09	0.059	0.246	0.107	0.253	0.436	0.383
57574	0.083	0.162	0.054	0.375	0.062	0.009	0.095	0.056	0.03	0.051	0.06
54708	2.881	1.539	3.153	2.693	2.966	2.683	1.957	2.897	2.028	1.811	2.86
55964	0.095	0.519	0.092	16.845	0.127	0.035	0.2	0.107	0.086	0.191	0.424
5414	1.861	1.363	4.983	53.277	2.189	4.364	2.929	1.583	0.858	4.681	1.734
5413	0.083	0.343	1.518	7.03	0.068	0.08	0.256	0.218	0.069	0.259	0.2
10801	4.636	7.284	3.533	5.522	4.612	5.793	4.71	5.106	2.552	13.338	6.684
10801	4.358	6.773	3.283	5.135	4.202	5.136	4.398	4.617	2.475	12.501	6.122
124404	0	0	0	0	0.014	0	0	0	0	0	4.128
	0	0.354	0	0	0	0	0	0	0	0	0
	3.58	2.663	2.518	3.118	2.985	2.081	4.298	5.301	2.758	4.748	4.53
	0.058	0.008	0.047	0.314	0.077	0.064	0.315	0.043	0.085	0.089	0.988
	0.298	0.272	0.282	11.939	0.809	0.02	0.045	0.956	12.933	0.053	0.443
	0.01	0	0.02	1.116	0	0	0	0.036	0	0.082	0.029
	1.483	1.417	1.687	1.153	1.454	0.585	1.763	1.472	1.931	1.785	1.872
	2.703	3.675	23.166	3.174	3.955	3.289	3.835	5.807	16.031	7.341	6.297
	0.91	0.548	0.666	1.474	1.215	1.187	0.384	1.577	0.687	0.826	1.237
	0	0	0	0	0	0	0	0	0	0	0
	2.347	1.438	3.293	1.721	3.859	3.305	2.162	1.632	2.132	2.584	2.671
29974	0	2.329	0.169	0.051	6.869	41.431	0.192	0.157	0.101	0.081	0
2	139.028	44.991	180.494	53.231	69.872	696.77	339.141	47.96	26.946	143.852	72.563
144568	0.042	0.04	0.05	0.343	0.014	0.016	0.005	0.111	0.013	0.015	1.433
51146	0.021	0	0	0	0.157	0.023	0.032	0.076	0	0	0
	0.037	0.026	0	0.552	0.047	0.061	0.781	0.135	0	0.038	1.561
8086	0.68	0.98	0.792	0.784	0.918	0.772	0.63	0.471	0.545	1.064	1.016
65985	3.848	2.749	1.561	4.005	2.473	0.549	1.089	0.943	0.275	1.376	2.961
13	0.046	0.705	0.058	0	0	64.352	0.334	0.275	0.18	0.332	0.371
126767	0.259	0	0	0	0	0	0	0	0	0	0.012
22848	1.214	0.726	1.916	2.888	1.889	0.45	1.126	0.706	1.19	1.598	0.855
15	0	0	0	0	0	0	0	0	0	0	0.076
15	0.019	0	0.039	0	0.039	0	0.044	0.02	0.023	0.053	0.246
80755	0.077	0.634	2.515	0.656	0.146	0	0.059	0.182	4.541	0.307	0.247
60496	1.527	0.566	4.072	11.098	5.152	3.129	1.53	3.66	3.987	4.234	3.848
10157	2.115	0.508	13.093	2.686	13.493	18.148	6.343	10.482	2.455	5.106	4.411
26574	13.326	10.954	13.479	17.06	14.098	14.551	11.187	14.215	11.851	20.828	17.257
18	0.316	0.925	2.376	19.25	16.679	39.81	1.037	1.348	0.342	1.059	4.045
20	0.68	0.476	0.265	4.505	0.464	0.184	0.19	0.092	0.234	0.377	0.338
21	0.15	0.14	0.186	2.151	0.322	0.012	3.808	0.09	0.168	0.303	0.272
24	0.02	0.035	0.003	0.528	0.425	0.017	0.012	0.01	0	0	0.064
10347	0.135	0.226	0.041	0.167	0.071	0.059	0.257	0.017	0.068	0.454	0.041
5244	0.24	0.262	1.009	0.208	0.199	23.624	0.059	0.166	0.831	2.907	0.135
	1.527	0.66	1.175	1.601	1.862	0.95	1.568	2.652	0.581	1.275	2.574
10058	1.483	0.614	1.016	2.053	1.092	3.231	0.542	1.177	1.467	0.658	1.905
22	2.507	2.456	4.319	3.191	4.07	4.549	2.426	3.711	4.341	3.404	2.707
11194	0.047	0.11	0.04	0.17	0.194	0.078	0.048	0.119	0.057	0.054	0.07
23457	0	0.044	0.032	0.064	0.032	0.011	0	0.038	0	0	0.191
4363	1.459	1.067	0.86	0.664	0.567	0.228	1.426	0.68	0.755	2.116	2.837
85320	0.016	0.006	0	0.091	0.024	0.513	0	0.034	0	0.061	0.312
150000	0	0.228	0.007	0.013	0.118	0	0.11	0.075	0	0.036	0.056
1244	0.145	0.209	0.148	0	5.965	21.223	0.106	0.171	0.185	0.251	0.329
10057	5.006	6.647	5.008	6.126	4.492	0.78	1.732	3.496	14.112	7.169	6.295
23	12.492	10.007	16.545	14.993	14.557	22.584	9.137	9.89	22.676	15.262	18.228
	0.046	0.138	0.165	0.323	0.211	0.166	0.161	0.109	0.119	0.305	0.223
9619	1.342	2.616	3.002	4.117	1.16	1.081	6.091	1.917	6.832	15.419	1.528
9429	0.456	0.348	0.135	0.787	0.301	0.384	0.134	1.14	0.05	0.023	0.446
64241	0	0.01	0.056	0.014	0.021	11.477	0	0.043	0	0.019	0
83451	0.135	0.926	0.353	0.324	0.894	0.074	0.121	0.188	0.204	0.326	0.287
26090	1.961	1.556	2.115	6.09	2.471	1.731	2.428	2.453	0.622	1.821	1.539
84945	0.603	0.281	1.431	1.236	1.364	1.352	1.971	1.218	0.705	2.524	1.39
84836	5.848	3.312	1.415	0.889	10.562	5.926	4.752	3.962	1.51	4.983	1.934
84836	4.824	2.797	1.163	0.731	8.783	4.939	3.942	3.297	1.26	4.18	1.59
116236	3.088	1.235	0.695	0.407	1.294	1.704	0.606	0.493	0.172	1.666	0.299
11057	4.278	4.612	10.165	12.906	5.615	30.679	7.88	6.294	1.868	9.659	5.4
171586	0.925	1.532	0.479	0.826	0.961	1.982	1.546	0.475	0.668	1.821	0.714
51099	2.531	0.634	2.535	1.38	1.122	0.878	1.467	0.732	1.051	1.295	1.066
79575	0.141	0.295	0.098	0.816	0.142	0.426	0.135	0.11	0.021	0.219	0.24
10006	3.968	3.499	3.079	9.504	3.815	2.609	5.148	3.098	1.662	7.735	4.566
51225	0.296	0.28	0.345	0.755	0.343	0.557	0.629	0.191	0.032	3.432	0.126
25890	14.26	3.714	11.999	2.719	2.922	0.525	14.618	18.143	3.962	2.095	7.387
25	5.12	7.787	5.237	4.181	3.783	2.032	4.27	7.654	2.552	5.812	4.338
27	1.775	1.04	1.549	2.368	1.358	0.904	2.476	1.777	0.911	1.925	1.764
27	1.75	1.047	1.524	2.317	1.34	0.892	2.427	1.738	0.9	1.889	1.735
27	1.567	0.958	1.413	2.274	1.279	0.873	2.248	1.614	0.834	1.798	1.645
3983	12.415	6.077	47.42	10.702	12.877	6.483	8.966	36.126	7.556	4.638	14.551
84448	0.282	0.432	0.968	3.298	0.383	0.108	0.183	0.023	21.405	2.623	0.153
84448	0.27	0.414	0.984	3.391	0.366	0.103	0.175	0.022	22.245	2.545	0.164
84448	0.254	0.39	0.932	3.204	0.35	0.097	0.203	0.02	21.18	2.437	0.171
29	3.355	11.242	6.92	31.087	2.161	0.795	4.125	2.955	1.472	6.859	2.312
137735	0	0.056	11.304	0.028	0.189	0	0.021	0.035	7.397	0.111	0.097
29777	0.831	0.468	0.901	0.672	0.855	1.366	0.789	1.1	0.424	1.712	1.155
80325	0.247	0.133	0.173	0.333	0.067	0.105	0.394	0.099	0.149	0.276	0.065
30	9.085	5.878	9.382	6.422	33.085	31.99	5.264	3.044	2.368	9.383	3.483
31	3.304	1.357	1.386	4.716	1.685	2.134	2.202	1.715	1.638	1.591	2.474
31	3.137	1.307	1.295	4.548	1.591	1.972	2.069	1.726	1.472	1.531	2.274
84129	2.458	0.918	1.547	1.311	8.149	8.271	0.913	1.178	0.688	1.107	1.499
36	3.573	2.008	8.72	6.333	22.751	57.65	3.014	3.337	4.552	2.53	2.98
37	7.09	4.78	7.844	2.234	7.201	6.418	1.856	1.773	3.803	2.366	1.99
9311	0.07	0.148	0.116	0.381	0.115	0	0.081	0.074	0.213	0.024	0.03
55515	0.025	0	0	0.942	0	0	0	0.066	0	0	0.022
51802	0	0	0	0	0.088	0	0	0	0	0	0.046
125981	0	0	0	0	0	0.074	0	0.053	0	0	0.029
55331	3.34	1.114	1.772	3.187	2.603	1.247	3.071	0.635	0.522	4.069	1.526
22985	8.739	10.489	9.686	7.164	10.676	4.358	7.757	8.503	8.301	11.58	14.845
22985	8.523	10.231	9.454	6.988	10.442	4.299	7.577	8.293	8.149	11.304	14.591
22985	13.62	16.376	13.418	9.612	14.625	8.465	10.372	17.298	13.531	18.387	22.376
22985	13.507	16.24	13.307	9.532	14.504	8.395	10.286	17.154	13.419	18.234	22.191
50	4.26	3.997	13.228	10.768	11.993	4.198	1.422	1.388	9.387	2.724	2.483
26027	0.071	1.16	0.393	0.123	0.794	0.013	0.101	0.268	0.108	0.058	0.234
134526	0	0.039	0.122	0.171	0.531	12.466	0.057	0.058	0.034	0.166	0.024
11332	0.231	0.575	0.352	3.365	0.985	0.198	0.316	0.013	0.016	0.355	0.132
8310	0.497	0.962	1.854	1.634	1.295	2.252	0.735	2.917	0.428	0.977	0.743
8310	0.486	0.939	1.81	1.595	1.264	2.199	0.717	2.855	0.418	0.954	0.726
55289	0.014	0.161	0.007	0.056	0.02	0.03	0.801	0.05	0	0.056	0.445
53	1.583	0.887	1.252	1.514	1.995	4.487	1.756	0.375	0.555	2.236	0.804
54	4.808	0.644	0.395	0.024	5.355	1.274	10.043	2.17	0.086	2.706	0.252
93650	0.027	0.038	0	0	0	0	0.021	0.071	0	0.094	0.035
49	0.107	0.075	0.068	0.221	0.095	0.148	0.124	0.014	0.032	0.167	3.88
56	0	0.133	0	0	0	0	0	0	0	0.066	0.528
56	0	0.103	0	0	0	0	0	0	0	0.077	0.694
56	0	0.097	0	0	0	0	0	0	0	0.048	2.196
56	0	0.089	0	0	0	0	0	0	0	0.066	2.043
56	0	0.078	0	0	0.028	0	0	0	0	0.058	1.942
23205	0.013	0.154	0.013	2.035	0.026	0	0.03	0.027	0.024	0.018	0.105
2182	14.798	1.861	12.506	16.733	16.428	1.709	19.228	7.177	13.776	15.37	26.734
51703	3.443	8.792	1.555	1.793	1.195	30.807	4.001	1.733	0.71	4.537	2.69
23305	0	0.371	0.202	13.144	0.529	0.226	0.158	0.038	0.161	0.4	2.162
123876	0	0.009	0.006	0	21.481	8.843	0.01	0.052	0.068	0	0.122
55902	4.309	4.071	3.683	1.102	6.488	2.015	2.068	0.599	4.985	0.898	1.384
55902	4.052	3.672	3.49	1.055	5.732	1.933	2.003	0.567	4.753	0.85	1.32
	7.188	5.02	8.078	13.725	8.56	3.066	12.015	17.791	6.078	15.148	9.539
86	11.739	13.563	15.632	10.421	13.352	13.933	13.24	20.94	10.7	23.262	33.981
86	11.444	13.222	15.238	10.158	13.016	13.582	12.907	20.413	10.431	22.676	33.125
51412	0	0	0	1.138	0	0	0	0	0	0	0.061
88	0.73	0.068	363.736	7.071	0.066	0	0.561	0.242	508.322	0.079	2.888
89	0	0	0.013	0.027	0.006	0	0	0.013	6.009	0	0.187
10097	24.589	11.137	26.683	38.131	21.733	20.844	29.566	21.822	14.241	75.757	23.084
57180	0.203	0.207	0.347	3.829	0.699	0.611	0.241	0.464	0.548	0.6	1.143
139741	0	0	0	0	0	0	0	0	0	0	0.044
90	3.293	2.484	5.365	4.033	7.991	4.512	4.268	5.819	3.2	3.729	4.224
130399	6.116	0.306	0.135	1.24	0.066	0.096	0.047	0.45	0.204	0.066	0.265
130399	6.429	0.336	0.151	1.268	0.067	0.094	0.049	0.449	0.201	0.065	0.258
98	0.361	0.21	2.258	1.364	0.668	0.597	0.393	0.189	2.147	0.54	0.398
161823	1.863	0.668	4.718	3.775	3.603	1.63	0.944	1.284	2.972	1.383	4.6
102	8.229	3.543	11.906	11.472	12.139	9.316	12.946	8.347	5.17	27.328	12.34
8038	5.593	0.186	0.184	0.84	0.155	0	0.232	1.844	0.022	0.317	0.397
8751	0.342	0.364	0.612	0.51	0.167	0.224	0.517	0.206	0.177	0.439	0.103
53616	1.432	0.375	0.299	8.754	1.041	0.03	0.226	1.043	0.178	0.444	0.669
53616	1.642	0.373	0.314	10.29	1.19	0.024	0.238	1.122	0.149	0.575	0.72
10863	0.592	3.599	0.495	1.869	1.328	0.019	2.372	0.492	0.148	6.83	1.488
10863	0.411	2.3	0.469	2.283	1.106	0.013	1.798	0.382	0.104	6.167	1.237
80332	0.595	0.278	0.18	0.075	0.079	0.023	0.193	0.087	0.114	0.036	0.414
1587	0	0	0	0.061	0	0	0.046	0	0	0.031	7.231
8755	0	0	0	0	0	0	0	0	0	0	0.562
8754	19.888	4.692	37.728	11.054	22.951	5.808	35.613	11.326	10.233	27.724	20.229
8754	20.43	4.863	38.016	11.188	23.4	5.922	36.239	11.285	10.327	27.978	20.611
27299	0.148	17.928	0.075	0.017	0.067	0.036	1.457	0.026	0	2.449	0.063
9510	14.622	2.278	33.308	7.405	13.096	5.043	19.742	55.561	12.365	7.333	9.67
11093	0.247	0.554	0.452	0.625	0.793	1.064	0.827	0.873	0.412	0.692	0.792
11093	0.154	0.345	0.289	0.397	0.533	0.731	0.516	0.552	0.266	0.432	0.484
171019	0.036	0.096	0.092	0.268	0.12	0	0.017	0.691	0.157	0	0.157
9509	0.194	0	0.11	0	0.044	0	0.066	0.011	0	0.388	0.009
9509	2.14	0.542	1.184	0.083	0.249	0.577	0.649	0.999	0.152	2.453	0.185
54507	0.432	0.311	0.58	0.118	0.064	0.238	0.361	0.286	0.354	0.439	0.298
54507	0.489	0.404	0.737	0.117	0.093	0.328	0.565	0.508	0.492	0.544	0.273
103	9.229	6.751	9.854	20.871	12.738	14.935	11.798	14.36	5.422	24.896	15.494
103	9.187	6.708	9.809	20.712	12.657	14.855	11.757	14.295	5.387	24.774	15.414
104	1.811	1.023	1.924	3.376	1.395	0.432	3.983	0.87	1.161	2.438	1.09
104	1.486	0.867	1.686	2.963	1.093	0.385	3.323	0.744	1.044	2.138	0.905
104	1.165	0.644	1.377	2.308	0.918	0.404	2.818	0.727	0.839	1.836	0.832
113451	0.034	0.177	0.103	0.573	0.076	0	0.026	0.079	0.02	0.012	0.309
57143	0.444	0.184	0.209	0.577	0.482	0.417	0.266	0.172	0.309	0.387	0.211
	0.029	0.095	0.578	1.951	1.138	4.323	0.205	2.6	0.07	0.282	13.504
112	2.623	1.719	2.277	0.675	1.542	0.401	1.024	0.658	0.312	0.468	0.795
113	2.423	1.512	1.4	1.093	0.601	0.284	2.402	3.315	0.536	5.548	0.692
114	0	0	0	2.938	0.023	0.01	0	0.005	0	0	0.352
117	0.447	0.47	0.352	9.363	0	0.025	0.103	0.14	0	0.185	0.21
120	8.783	6.487	15.576	27.829	19.73	2.06	10.067	11.18	2.972	10.006	16.525
126	1.147	14.629	0.519	0	1.196	26.101	0.518	0.17	1.797	0.241	0.681
128	12.879	5.808	12.52	8.229	17.664	15.267	8.1	9.159	5.267	8.436	14.05
130	0.197	1.138	0.067	0.027	3.539	16.506	0.101	0.178	0.182	0.145	0.162
9370	129.082	5.589	2.183	0.017	0.348	0.009	0.08	0.034	0.768	0.028	0.308
51094	3.556	2.66	9.124	7.108	6.546	11.79	7.941	4.426	6.451	10.757	7.579
51094	3.543	2.65	9.09	7.081	6.522	11.746	7.911	4.41	6.427	10.717	7.551
132	3.104	0.593	3.519	4.859	3.812	14.828	4.233	1.735	2.467	3.684	4.595
79924	0	0.073	0.044	0	0.917	0.105	0.02	0.014	0	0.156	0.041
23394	5.947	4.953	6.158	11.572	8.797	4.812	7.257	17.346	7.787	14.141	15.986
140	0.102	0.287	0.624	0.74	0.017	0.32	0.933	0	0	0.957	0.766
141	3.684	0.778	2.326	1.201	1.364	0.884	3.022	0.52	1.72	5.582	2.025
113622	0.314	0.275	25.931	0.425	0.188	0.108	0.136	0.277	13.543	0.068	0.503
54936	0.435	0.441	0.441	0.83	0.724	0.432	0.217	0.216	0.487	0.466	1.086
148	3.835	0.167	2.394	1.95	0.056	11.318	0.776	0.192	0.067	2.792	0.219
154	3.197	0.202	0.523	0.373	0.21	0.538	2.056	0.132	1.138	1.374	0.116
155	0.042	0.321	0.042	0.029	0.063	0.031	0.075	0.167	0.008	0.134	0.077
156	0.672	1.456	0.985	2.178	0.689	0.647	1.665	0.29	0.458	3.089	0.446
122622	0.182	0.255	5.267	0.565	1.115	2.348	0.499	0.265	25.822	0.07	1.281
165	12.102	7.694	19.688	5.32	7.042	1.499	12.361	23.761	3.727	11.201	18.264
121536	1.583	1.867	2.352	3.602	2.932	0.988	2.53	4.698	1.344	3.374	4.195
60312	1.07	1.341	0.741	1.184	0.673	0.102	0.815	1.084	0.58	0.858	0.649
84632	0.602	1.077	0.484	1.577	1.927	0.082	0.42	1.866	0.213	9.693	0.613
4299	9.156	6.772	9.658	3.559	17.323	5.9	9.397	12.108	22.38	11.316	6.655
2334	0.326	0.107	0.317	2.433	0.185	0.053	0.803	1.331	0.024	0.331	1.559
2334	0.326	0.107	0.317	2.433	0.185	0.053	0.803	1.331	0.024	0.331	1.559
3899	2.369	1.191	0.871	5.043	0.581	0.229	1.888	3.761	0.153	5.19	1.632
10939	6.903	9.095	15.502	12.097	14.567	14.206	4.642	7.055	13.217	7.456	7.558
173	0.074	0.052	0.028	0	11.726	41.994	0	0	0	0.127	0.157
	0.078	0.184	0.028	5.846	0.037	0	0.069	0.255	2.885	0.105	0.816
125061	0.177	0.165	0.209	0.122	3.065	1.626	0.771	0.216	0.036	0.326	0.151
125061	1.901	1.165	1.272	3.744	6.653	16.682	2.309	1.345	0.406	1.852	1.245
54812	3.251	2.943	2.971	5.235	9.067	3.819	5.902	3.771	2.512	9.037	5.581
119385	1.292	0.179	0.213	0.192	0.364	0.013	0.269	0.688	0.345	0.153	0.562
119016	0	0	0	0	0	0	0	0	0	0	0
729092	0.151	0.265	0.054	0.047	0.069	0.117	0.07	0.206	0.073	0.168	0.149
414189	0.026	0.121	0.047	0.014	0.054	0	0.061	0.035	0.08	0.101	0.136
653268	0	0	0	0.016	0.038	0	0	0	0	0.01	0.065
340351	0.135	0.095	0.053	0.14	0.126	0.069	0.208	0.185	0.271	0.23	0.809
60509	0.919	0.929	0.543	1.088	1.894	0.648	0.533	0.915	0.319	0.719	10.148
178	2.869	1.545	5.491	3.459	3.801	12.356	1.717	1.488	16.081	2.939	2.887
10554	0.295	0.375	0.862	1.028	0.997	0.611	0.61	1.168	0.559	0.791	0.709
56894	5.683	3.081	5.194	8.232	11.966	8.103	2.936	1.726	3.957	5.462	3.212
	0	0	0	0	0	0	0	0	0	0	0
123688	3.421	1.941	1.847	4.021	6.865	2.198	1.066	4.259	3.776	1.108	2.33
10551	0.075	28.257	0	0	0.34	0.124	3.426	0.078	0	0.104	0.32
155465	0	4.354	0	0	0.124	0	3.201	0	0	0	0
23287	2.185	0.82	6.341	12.03	2.53	1.238	5.471	1.53	2.209	6.402	3.96
185	1.688	0.064	0.626	0.031	0.768	5.085	0.807	0.263	0.801	0.852	0.416
